Criterion Name,Category,Complexity,Description,Formula/Method,Framework Source,Implementation Status,Level,Performance (ρ),Place,Research Dataset,Tools,Type
Active Voice Ratio,Style,O(n),Proportion of active vs passive voice constructions,active_sentences / total_sentences,Custom,Planned,"Document, Sentence",,,,spaCy,Quantitative
SOLO Taxonomy Level,Argumentation,,Structural complexity: Pre-structural → Uni → Multi → Relational → Extended Abstract,Classification based on idea integration,SOLO Taxonomy,Future,"Document, Paragraph",0.6,,ASAP,Custom,Qualitative
Counter-Argument Presence,Argumentation,,Alternative viewpoints acknowledged,Binary or count of counter-argument sections,Toulmin,Future,"Document, Paragraph",0.54,,ASAP,Custom,Qualitative
Character Consistency,Entity-Based,,Fiction: character traits and motivations remain stable,Contradiction detection in character actions/descriptions,Custom,Future,"Document, Multi-scale",,,,"Custom, spaCy",Qualitative
Gunning Fog Index,Style,O(n),Years of education needed to understand text,0.4  ((words/sentences) + 100  (complex_words/words)),Custom,Planned,Document,,,,"Custom, NLTK",Quantitative
Plot Coherence,Coherence,,"Fiction: clear causal chains, no unexplained jumps",Event graph connectivity; dangling plot threads,Custom,Future,"Document, Multi-scale",,,,Custom,Qualitative
Entity Grid Transitions,Entity-Based,O(n² × e),"Probability of entity role transitions (S→S, S→O, etc.) across consecutive sentences",P(r_i→r_j) = count(r_i→r_j) / total_transitions,Entity Grid,Planned,"Multi-scale, Sentence",0.65,,"ASAP, GCDC","sklearn, spaCy",Quantitative
Article Errors,Grammar,O(n),Incorrect use of a/an/the or missing articles,article_error_count,e-rater,Planned,"Sentence, Word",,,,"Custom, spaCy",Quantitative
Toulmin Grounds/Evidence,Argumentation,,"Supporting evidence for claims (data, examples, expert opinion)",Evidence sentences per claim; evidence quality rating,Toulmin,Future,"Document, Paragraph",0.62,,ASAP,"Custom, HuggingFace",Hybrid
Toulmin Claim Presence,Argumentation,,"Whether essay contains clear, identifiable claim statements",Binary or count of claim sentences,Toulmin,Future,"Document, Paragraph",0.6,,ASAP,"Custom, HuggingFace",Qualitative
IMRD Structure Conformity,Structural,,Academic: proper Intro/Methods/Results/Discussion structure,Section classification; expected content per section,Custom,Future,"Document, Section",,,,Custom,Qualitative
Grammar Error Count,Grammar,O(n),Total grammatical errors per 1000 words,error_count / (word_count / 1000),e-rater,Planned,"Document, Sentence",0.7,,"ASAP, TOEFL11","Custom, spaCy",Quantitative
Limitation Discussion Presence,Argumentation,,Academic: limitations acknowledged,Binary detection of limitation section/discussion,Custom,Future,Document,,,,Custom,Qualitative
Redundancy Detection,Style,O(n²),Repeated words or phrases without purpose,N-gram repetition count; semantic similarity threshold,e-rater,Planned,"Paragraph, Sentence",,,,"Custom, NLTK",Quantitative
Toulmin Rebuttals,Argumentation,,Counter-arguments addressed and rebutted,Rebuttal detection; quality assessment,Toulmin,Future,"Document, Paragraph",0.57,,ASAP,Custom,Qualitative
PDTB Relation Sequences,Discourse,O(n·R²),"Discourse relation transition patterns (e.g., Contrast→Cause is common)",Observed vs expected relation sequences,PDTB,Future,Sentence,0.65,,GCDC,Custom,Quantitative
Coreference Chain Length,Entity-Based,O(n),Number of sentences in which the same entity is referenced,max(chain_length) or avg(chain_length),"Centering Theory, Coh-Metrix",Planned,"Multi-scale, Paragraph, Sentence",,,GCDC,"AllenNLP, spaCy",Quantitative
Spelling Errors,Grammar,O(n),Misspelled words count,misspelling_count / total_words,e-rater,Planned,"Document, Word",,,,"Custom, NLTK",Quantitative
Punctuation Errors,Grammar,O(n),"Incorrect comma usage, missing periods, etc.",punctuation_error_count,e-rater,Planned,Sentence,,,,"Custom, spaCy",Quantitative
Section Ordering Logic,Structural,,Sections follow logical progression,Dependency analysis; prerequisite ordering,Custom,Planned,"Document, Section",,,,Custom,Qualitative
Entity Salience Score,Entity-Based,O(n),"Importance/prominence of key entities (e.g., protagonist-centeredness in fiction)",mention_frequency × role_weight (Subject weighted higher),Entity Grid,Planned,"Document, Multi-scale",,,,"Custom, spaCy",Quantitative
Intro-Conclusion Alignment,Structural,,Introduction and conclusion mirror each other thematically,Semantic similarity between intro and conclusion,Custom,Planned,Document,,,,"Custom, SBERT",Qualitative
SBERT Sentence Similarity,Semantics,O(n·d),Semantic similarity between adjacent sentences using sentence-BERT embeddings,"cosine_similarity(embed_i, embed_i+1)",BERT,Planned,"Paragraph, Sentence",0.75,,GCDC,"HuggingFace, SBERT",Quantitative
Lexical Chain Continuity,Coherence,O(n),Related words create semantic continuity,Chain length; semantic field consistency,Coh-Metrix,Planned,"Document, Paragraph",,,,"Custom, NLTK",Quantitative
Acronym Definition,Coherence,,Acronyms defined at first use,Undefined_acronyms / total_acronyms,Custom,Planned,"Document, Word",,,,Custom,Qualitative
Discourse Connective Count,Discourse,O(n),"Frequency of explicit discourse markers (however, therefore, meanwhile, etc.)",connectives_count / total_sentences,"PDTB, e-rater",Planned,"Document, Sentence",,,ASAP,"Custom, NLTK",Quantitative
Flesch Reading Ease,Style,O(n),Readability score based on sentence length and syllables,206.835 - 1.015(words/sentences) - 84.6(syllables/words),Custom,Planned,Document,,,,"Custom, NLTK",Quantitative
Forward Reference Detection,Structural,,Terms used before definition/explanation,Count of forward references in dependency graph,Custom,Planned,Document,,,,Custom,Qualitative
