Page Name,Description,Duplicate/Overlap Status,Hierarchy Level,Objective,Page Link,Parent Page,Reading Time (min),Status,Tags,Type
Optimization Remedies: Severity-Weighted Multi-Run Framework,Six algorithmic remedies to prevent trivial solutions and constraint artifacts,,3,Optimization Research,https://www.notion.so/20a57259a69d48d8948fc904157f74b8,General Overview: Severity-Weighted Optimization Framework,55,Active,"Optimization Algorithm, Technical Specification",Technical Spec
PHASE 4 VALIDATION: Full GT Testing & Manuscript Re-Diagnosis,Held-out validation for unbiased performance metrics,,4,Quality Assurance,https://www.notion.so/2b91612d0fb14e45a0b6fccd64d3ed0d,Baseline Defining Moments: Mathematical Extraction from Ground Truth,45,Active,"Mathematical Framework, Validation",Iteration/Phase
Coherence Assessment Procedures,Entity grid theory and transition probability analysis,,2,Quality Assurance,https://www.notion.so/e900e8b00d454cd6b880373be5ddf391,,45,Active,"Mathematical Framework, Quality Assessment",Method/Framework
Book Project Knowledge,Support materials for America's Skeleton manuscript,,1,Content Production,https://www.notion.so/73114746575348099f7f555675b3b1b5,,15,Active,Guide/Documentation,Hub/Index
CONSTRUCT VALIDITY TEST: Before/After Revisions,Tests if framework measures true quality improvements after revisions,,4,Quality Assurance,https://www.notion.so/f0d0ea79b4604190b906b8c235408a0b,Baseline Defining Moments: Mathematical Extraction from Ground Truth,40,Active,"Mathematical Framework, Validation",Iteration/Phase
ITERATION 3: Calibrating Against Section 1.3,Third calibration iteration testing genealogical hypothesis,,3,Content Production,https://www.notion.so/058c17d5d7b540d8bcaa62f010d2ba6d,Framework Solidification: From Fluid Measures to Specific Text Quality Model,45,Active,"Calibration, Iteration Cycle",Iteration/Phase
ITERATION 2: Calibrating Against Section 1.2,Second calibration iteration testing on demographic statistics section,,3,Content Production,https://www.notion.so/2fc573052253459699f9060123c091d9,Framework Solidification: From Fluid Measures to Specific Text Quality Model,45,Active,"Calibration, Iteration Cycle",Iteration/Phase
Modular Methods,Domain-specific methods extracted from problem-solving,,1,Optimization Research,https://www.notion.so/33f3283a689f49a5a70ba8a712cf0ad5,,15,Active,Guide/Documentation,Hub/Index
Layer-Level Interaction Architecture (Abstract),Cross-layer coupling and interaction patterns across 6 quality layers,,3,Quality Assurance,https://www.notion.so/615720a891904a0087cec8c3e7ab59df,Linguistic Frameworks,50,Active,"Quality Assessment, Technical Specification",Technical Spec
VISUALIZATION SETUP GUIDE,"Instructions for Obsidian, Notion, and HTML visualization setup",,2,Visualization,https://www.notion.so/a43b6aca96f145cc84894a67d69f5523,,25,Active,"Guide/Documentation, Visualization",Guide
Quality Assurance Checklists,Assessment criteria catalog for linguistic quality measures,,2,Quality Assurance,https://www.notion.so/261539b640b843f986c30d5c270f0115,,30,Active,"Guide/Documentation, Quality Assessment",Guide
🏠 Workspace Home,Project-oriented landing page for quick navigation,,0,Meta,https://www.notion.so/8a4d7c08697640f1ab1a65590ce0837f,,15,Active,Guide/Documentation,Hub/Index
Automated Evaluation Tools,Guide to existing AES systems and neural models,,2,Quality Assurance,https://www.notion.so/c04f3eb2e5cf40a0ac6d55445a6d5093,Linguistic Frameworks,25,Active,"Guide/Documentation, Quality Assessment",Guide
Layer-Level Interaction Architecture (Abstract),Cross-layer coupling patterns across quality dimensions,,2,Quality Assurance,https://www.notion.so/2aaf832e52ca80a9b2d1c56f0d2ecba9,Linguistic Frameworks,50,Active,"Mathematical Framework, Technical Specification",Technical Spec
Linguistic Frameworks,Theoretical foundation for linguistic quality assessment procedures,,1,Quality Assurance,https://www.notion.so/2a3f832e52ca806ba576d30cd8f4e2a5,,10,Active,Guide/Documentation,Hub/Index
⚙️ Unified Framework Architecture,Unified gear-based policy configuration framework,,1,Optimization Research,https://www.notion.so/dde7f6d9137040038c1561682e0814b1,,45,Active,"Infrastructure Architecture, Mathematical Framework",Architecture Doc
Genre-Specific Assessment Protocols,Assessment protocols tailored by genre,,2,Quality Assurance,https://www.notion.so/39236ee503bc40299aa2539a6e7f72c4,Linguistic Frameworks,30,Active,Quality Assessment,Method/Framework
"📋 Workspace Extraction Report: Structure, Formal Elements & Redundancy Analysis",Complete workspace analysis across 4 dimensions,,0,Meta,https://www.notion.so/bf6ddb5bd3a045119f5566429c4f0df7,,60,Active,Evolution Analysis,Analysis/Report
Gear Based Pluggable Policy Configuration,Group theory-based policy configuration interface,,2,Optimization Research,https://www.notion.so/2aaf832e52ca81e3b200e0d429fd9052,,55,Active,"Mathematical Framework, Technical Specification",Technical Spec
remove reference numeric,Reference cleanup utility,,1,Meta,https://www.notion.so/2aaf832e52ca80149326dff7d971748e,,5,Active,Guide/Documentation,Guide
Rubric-Based Scoring Protocols,Grading criteria and rubrics for quality assessment,,2,Quality Assurance,https://www.notion.so/3effbfbcff9a4eec8b3d1af5567aa3fa,Linguistic Frameworks,35,Active,Quality Assessment,Method/Framework
Book Hub: Quality-Driven Manuscript Development,Hub for manuscript development workflows,,1,Content Production,https://www.notion.so/29ef832e52ca80fcabb8d37bda8874e6,,15,Active,Guide/Documentation,Hub/Index
Building Block of Society - The Commitment Void Fraction,Foundational framework for void fraction methodology,,2,Content Production,https://www.notion.so/a945b119c1f04066a8f83d1d82fa93dd,,180,Active,Manuscript Content,Manuscript
Multi agent Project Knowledge,Knowledge hub for multi-agent book writing system,,1,Infrastructure,https://www.notion.so/980bdc37c3754800bde2f997a28a11dc,,15,Active,"Guide/Documentation, Multi-Agent System",Hub/Index
Multi-Layer Quality Recommendation Heatmap (MCF),61-measure linguistic framework with heatmap visualization,Duplicate,2,Quality Assurance,https://www.notion.so/2aaf832e52ca81d492e3ec6a896e3e31,MCF,60,Active,"Quality Assessment, Technical Specification, Visualization",Technical Spec
MCF,Master Collection Framework with core assets,,1,Quality Assurance,https://www.notion.so/2aaf832e52ca80abbfafdb40c309f6d6,,10,Active,Guide/Documentation,Hub/Index
Revised Framework Solidification (MCF),Integrated 6-layer plus 7th multi-layer quality assessment,,2,Quality Assurance,https://www.notion.so/2aaf832e52ca80f0a539d65a27ed0de9,MCF,50,Active,"Calibration, Mathematical Framework, Quality Assessment",Method/Framework
Distributed Systems Lectures,Educational materials on distributed systems,,1,Infrastructure,https://www.notion.so/561364f3a6044bcb8e709b11d132175a,,10,Active,Guide/Documentation,Hub/Index
Optimization Algorithm (MCF),Severity-weighted optimization with constraint guarantees,Duplicate,2,Optimization Research,https://www.notion.so/2aaf832e52ca81849fdfe64e574e3caa,MCF,65,Active,"Mathematical Framework, Optimization Algorithm, Technical Specification",Technical Spec
📦 Archive - Superseded Research Versions,Archive of superseded pages and versions,,0,Meta,https://www.notion.so/a994108666884cafa63af0a970402c56,,5,Archived,Archive,Hub/Index
Sampling-Claude Edition,Statistical sampling methods for quality control,,2,Optimization Research,https://www.notion.so/2a7f832e52ca80779afffadeaf0b2fbe,,45,Active,"Mathematical Framework, Sampling Method",Method/Framework
Visualization Hub,Master hub for visualization systems,,1,Visualization,https://www.notion.so/8cf451648b2a4d3398cbb85f0e01d0e5,,10,Active,"Guide/Documentation, Visualization",Hub/Index
Coherence Multilayer Architecture,Multi-layer coherence measurement architecture,,3,Quality Assurance,https://www.notion.so/cc48a8ca83764be3b5a15eff627435d1,Coherence Research Hub,45,Active,"Quality Assessment, Technical Specification",Technical Spec
Coherence Research Hub,Hub for coherence research and analysis,,2,Visualization,https://www.notion.so/270b1621d8ed4bf78132fa8dc2497d1a,Visualization Hub,10,Active,"Guide/Documentation, Quality Assessment",Hub/Index
Entity Grid Visualization,Entity-role grid visualization tool,,2,Visualization,https://www.notion.so/00323f6a45324ad995be053a0e08ed58,Visualization Hub,25,Active,Visualization,Demonstration
Design Philosophy,Core design principles for research and systems,,1,Meta,https://www.notion.so/30c59efe21cc45e4b6425e39c6367692,,25,Active,Guide/Documentation,Guide
Entity Grid Theory,Theoretical foundation for entity-based coherence,,3,Quality Assurance,https://www.notion.so/49543bd533c048d3bf7abc4677bad501,Coherence Research Hub,40,Active,"Mathematical Framework, Quality Assessment",Method/Framework
Multi-Layer Network Visualization,3D multilayer network representation,,2,Visualization,https://www.notion.so/b28941f2eae14aa185960498bfe66861,Visualization Hub,35,Active,Visualization,Demonstration
Assumption-Immune Implementation,Phase-based workflow preventing backward reasoning,,2,Optimization Research,https://www.notion.so/8fa0de6340734e04b001bcdf93079d62,Design Philosophy,40,Active,Technical Specification,Method/Framework
General Methods,Universal approaches applicable across research domains,,1,Optimization Research,https://www.notion.so/72db753b87c44df8a23bec1528b1a0e4,,15,Active,Guide/Documentation,Hub/Index
Interactive Heatmap Visualization,Interactive quality heatmap interface,,2,Visualization,https://www.notion.so/9442443df68d41a2964d7db329e60a18,Visualization Hub,30,Active,Visualization,Demonstration
Agent Specification - Editor,Editor agent specification for content review,,3,Infrastructure,https://www.notion.so/f05add16de954e87972d001804958c20,Multi agent Project Knowledge,40,Active,"Multi-Agent System, Technical Specification",Technical Spec
CQRS Pattern,Command Query Responsibility Segregation pattern,,2,Infrastructure,https://www.notion.so/f65c17b31b0d4bee935a09b9a4262f4c,,45,Active,Infrastructure Architecture,Architecture Doc
Composable Abstractions,Design pattern for composable system abstractions,,2,Infrastructure,https://www.notion.so/b4dfe15801db4062b969bc213dc95519,Design Philosophy,35,Active,Guide/Documentation,Guide
Rotational HR - Agent Rotational Development Program,Agent rotation and development program,,2,Infrastructure,https://www.notion.so/cfc4f45f44f643f2974cad1b019bf5a5,Multi agent Project Knowledge,30,Active,"Guide/Documentation, Multi-Agent System",Guide
Dependency Discovery Policy,Multi-agent coordination dependency discovery,,2,Infrastructure,https://www.notion.so/dd86c5b8f10c4ae592f85977ef8a1e3e,Multi agent Project Knowledge,45,Active,"Multi-Agent System, Technical Specification",Method/Framework
Agent Specification - QA Pre-Scan,Automated quality check agent specification,,3,Infrastructure,https://www.notion.so/207810b1b93b4d93a4fdf4b5cbb080f7,Multi agent Project Knowledge,40,Active,"Multi-Agent System, Technical Specification",Technical Spec
Visual Architecture Guide,Consolidated architecture diagram guide,,2,Infrastructure,https://www.notion.so/54919f480e9042b5b474b8621c67469a,,35,Active,"Guide/Documentation, Infrastructure Architecture",Guide
Reactive Streams,Backpressure and reactive stream processing,,2,Infrastructure,https://www.notion.so/18189ab558294d8f97f5696543cd27a5,,40,Active,Infrastructure Architecture,Architecture Doc
Event Sourcing Architecture,Event sourcing for distributed systems (archived),,2,Infrastructure,https://www.notion.so/ddb4ff3a53384ac9a3fbf3f03f3a9d0e,,50,Archived,"Archive, Infrastructure Architecture",Architecture Doc
Saga Pattern,Distributed transaction management with sagas,,2,Infrastructure,https://www.notion.so/4d6ed972acb54506a5ef90183d1b661d,,45,Active,Infrastructure Architecture,Architecture Doc
Projects-Obsidian-z Import,Additional Obsidian vault import,,0,Meta,https://www.notion.so/29ef832e52ca805f9950e8ccf881aa7e,,5,Active,Archive,Hub/Index
What We Can Create RIGHT NOW,Assessment of immediately achievable deliverables,Duplicate,2,Content Production,https://www.notion.so/fc7162fe8a3a4a97b53d20b78953a73a,Book Project Knowledge,25,Active,Guide/Documentation,Analysis/Report
Implementation Roadmap,Multi-agent system implementation roadmap,,2,Infrastructure,https://www.notion.so/9c993347d36647afa92ab073210bba9f,Multi agent Project Knowledge,35,Active,"Guide/Documentation, Multi-Agent System",Guide
Media Hub,Media and specialized projects,,1,Meta,https://www.notion.so/f690be420db74496ae094f0244062a9d,,10,Active,Guide/Documentation,Hub/Index
"Projects-Obsidian-z Import Nov 1, 2025",Imported Obsidian vault content,,0,Meta,https://www.notion.so/29ef832e52ca80d88d30f6832bfdb429,,5,Active,Archive,Hub/Index
page 4 - The Unsaid,Creative writing piece on inference and context,,1,Content Production,https://www.notion.so/7b1f482080da4cb5bdfe67fe059be057,,8,Experimental,Manuscript Content,Manuscript
Distributed Systems Course Materials,Course materials for distributed systems education,,2,Infrastructure,https://www.notion.so/7e95e5ca757b4a729fef4c9c7c488aa3,Distributed Systems Lectures,60,Active,Guide/Documentation,Guide
Podcast Project,Podcast exploration project,,2,Meta,https://www.notion.so/a8c4d94b800f41b0a973387f236792e0,Media Hub,20,Experimental,Guide/Documentation,Demonstration
Climate Policy Design - Revised (Measure 2 Applied),Climate policy with techno-economics for green hydrogen,,1,Content Production,https://www.notion.so/22073a8d6eb649039a3cb5fcdc179951,,120,Active,Manuscript Content,Manuscript
Ch 24: AI Governance in the Age of Platform Monopoly,AI governance chapter draft,Related Version,2,Content Production,https://www.notion.so/1fda3f8e2b9544c1bc0e3af0649b02d3,,70,Active,Manuscript Content,Iteration/Phase
AI Ethics - Infrastructure Innovation Divide,Infrastructure-innovation divide in AI systems,,1,Content Production,https://www.notion.so/e385ee27a6fa479fa518008e4c317e6c,,80,Active,Manuscript Content,Manuscript
AI Ethics - Market Concentration,Analysis of market concentration in AI,,1,Content Production,https://www.notion.so/2d9d9d1c70de4b799e74826b4bca6447,,90,Active,Manuscript Content,Manuscript
AI Ethics - Leadership Void,Leadership void in AI governance,,1,Content Production,https://www.notion.so/f2c6cbd0c4b34b8d82db24cc6655892e,,85,Active,Manuscript Content,Manuscript
Exploratory Reading - Climate Policy,Exploratory notes on climate policy,,1,Content Production,https://www.notion.so/54f788ed0642407590940d2c4c3eaaf8,,40,Active,Guide/Documentation,Analysis/Report
Genealogical Analysis of American Exceptionalism,Case study on American founding populations,,2,Content Production,https://www.notion.so/316be8f54928442c9576981658245bea,,60,Active,Manuscript Content,Analysis/Report
NEW PART II: The Infrastructure-Innovation Divide,Combined chapters on infrastructure-innovation divide,,2,Content Production,https://www.notion.so/f280d36bfbd349afa5e0a5946016aff6,,120,Active,Manuscript Content,Iteration/Phase
Case Study Library,Collection of case studies for research,,1,Content Production,https://www.notion.so/0775b66c9bab42cb9c0773f35d6e2b01,,15,Active,Guide/Documentation,Hub/Index
Social Systems Case Studies,Case studies on social systems,,2,Content Production,https://www.notion.so/399bdf41b4db4fa6a2c652a5efe9ca2f,Case Study Library,45,Active,Manuscript Content,Analysis/Report
Ch 26: The Equity Imperative in AI Deployment,Equity as technical safety requirement,Related Version,2,Content Production,https://www.notion.so/ac923460ca764effa3c663549c46a9be,,55,Active,Manuscript Content,Iteration/Phase
Books & References,Academic references and book library,,1,Meta,https://www.notion.so/ce13a4ba5c7f46b394f1eece2b3ee93d,,10,Active,Guide/Documentation,Hub/Index
Reading Notes,Exploratory reading notes and summaries,,2,Meta,https://www.notion.so/3d97f9f592064b0aa37ca4fced8e87bf,Books & References,30,Active,Guide/Documentation,Analysis/Report
Policy Case Studies,Policy analysis case studies,,2,Content Production,https://www.notion.so/3fc176bbc3b943039aa0c3b4116f24e0,Case Study Library,40,Active,Manuscript Content,Analysis/Report
Ch 24: AI Policy in the Age of Geopolitical Competition,Geopolitical competition in AI policy,Related Version,2,Content Production,https://www.notion.so/898487f907b84201911ba40fef17206c,,65,Active,Manuscript Content,Iteration/Phase
Ch 6: The Windows Legacy and System Architecture Collapse,Analysis of Windows legacy and system fragility,,2,Content Production,https://www.notion.so/5712340d6c2141d4b853741a426902ae,,85,Active,Manuscript Content,Iteration/Phase
Human-Configured Optimizer: Preference Panel Specification,User preference panel for optimization,,2,Optimization Research,https://www.notion.so/3109fddc952c4357bd99f8637571bade,,50,Active,Technical Specification,Technical Spec
PARALLEL STRUCTURE MATRIX,Matrix for parallel structure analysis,,2,Quality Assurance,https://www.notion.so/d124ba5829f442029c612421af93541d,,35,Active,Technical Specification,Technical Spec
FRAUD DOCUMENTATION,Documentation of validation issues,,3,Quality Assurance,https://www.notion.so/3092b940899a42dda4d9a3b22fb223e8,,20,Active,Validation,Analysis/Report
Chapter One Guiding Rest of Book,Analysis of chapter one structure,,2,Content Production,https://www.notion.so/2a7f832e52ca80aa9fc5d7886e240b7d,,30,Active,Guide/Documentation,Analysis/Report
Layer-Level Interaction Patterns,29 interaction patterns across quality layers,,3,Quality Assurance,https://www.notion.so/f5d16f776f0648bcb9177894cf4edc58,,55,Active,"Mathematical Framework, Technical Specification",Technical Spec
Climate Policy Deep Dive,Specialized analysis of climate policy,,2,Content Production,https://www.notion.so/6880ac2f1ff2459893be9a6e5a338690,,70,Active,Manuscript Content,Analysis/Report
ITERATION TEST RESULTS,Consolidated iteration test results,,3,Quality Assurance,https://www.notion.so/e4dd1c5bf7b64889a0b888e534031d4f,,25,Active,"Iteration Cycle, Validation",Analysis/Report
ARCHIVED 2025-11-01: EDLA Version 2,Archived EDLA version,,1,Meta,https://www.notion.so/66c30c88d3ff4c9aab34f066aace94f7,,40,Archived,Archive,
Research Scenarios,Experimental research scenarios,,1,Meta,https://www.notion.so/adfcb5d300c44d37ad1c9184670541b4,,25,Experimental,Guide/Documentation,Demonstration
PHASE 4 VALIDATION,Phase 4 validation results,,4,Quality Assurance,https://www.notion.so/7139a66bd27d48cdab6a8d2f4bb56229,,40,Active,"Mathematical Framework, Validation",Iteration/Phase
Saga Architecture Diagram,Saga pattern visualization,,3,Infrastructure,https://www.notion.so/29ef832e52ca813a9bede5e782356668,Visual Architecture Guide,15,Active,Infrastructure Architecture,Architecture Doc
Optimization Algorithm (duplicate),Duplicate optimization algorithm page (to be consolidated),Archived Duplicate,2,Optimization Research,https://www.notion.so/2a6f832e52ca80089370ffe01876d4af,,65,Archived,"Archive, Optimization Algorithm",Technical Spec
Ch 16: Operating Cost Structure and Sensitivity Analysis,Operating cost with sensitivity analysis,,2,Content Production,https://www.notion.so/f9e244968ba74e7197f463b697f95ca3,,55,Active,Manuscript Content,Iteration/Phase
Toulmin Framework,Toulmin argumentation framework (Claim-Ground-Warrant),,2,Quality Assurance,https://www.notion.so/331caa4789d94ad0ac8455e19576ef98,Linguistic Frameworks,35,Active,"Mathematical Framework, Quality Assessment",Method/Framework
Master Collection Framework (MCF Hub),Master Collection Framework hub page,,1,Quality Assurance,https://www.notion.so/2aaf832e52ca80afa4e0e3d379b80b48,,15,Active,Guide/Documentation,Hub/Index
Pathway Mapping,Quality measure pathway mapping,,3,Quality Assurance,https://www.notion.so/5045e328b94c4a3690688950f633d5d0,,45,Active,"Quality Assessment, Technical Specification",Technical Spec
Ch 16: Operating Cost Structure,Operating cost analysis chapter,,2,Content Production,https://www.notion.so/2087339013f2423e822adbcbcbe3fb1c,,50,Active,Manuscript Content,Iteration/Phase
Void Fraction Framework,Social absence measurement framework,,2,Content Production,https://www.notion.so/69fdc20276c94fb9bd7f5eb5a00b16cf,,60,Active,Mathematical Framework,Method/Framework
ITERATION 3: Calibrating Against Section 1.3,Third calibration iteration testing genealogical hypothesis,,3,Content Production,https://www.notion.so/058c17d5d7b540d8bcaa62f010d2ba6d,Framework Solidification: From Fluid Measures to Specific Text Quality Model,45,Active,"Calibration, Iteration Cycle",Iteration/Phase
Tasks,Task management and tracking hub,,1,Meta,399,,5,Active,Guide/Documentation,Hub/Index
Heatmap-Guided Sampling Strategies,Heatmap-guided sampling from convergence zones,,2,Optimization Research,https://www.notion.so/2a7f832e52ca8103b114ddeaea059f24,,40,Active,Sampling Method,Method/Framework
Conflict-Aware Sampling,Sampling strategy for disagreement zones,,3,Optimization Research,https://www.notion.so/2a7f832e52ca81c18b97de87a73b4c7f,,35,Active,Sampling Method,Method/Framework
Stratified Sampling by Density,Stratified sampling based on density patterns,,3,Optimization Research,https://www.notion.so/2a7f832e52ca8192a8d6d00f27efcc9f,,35,Active,Sampling Method,Method/Framework
Projects,Project management hub,,1,Meta,400,,5,Active,Guide/Documentation,Hub/Index
Multi agent Project Knowledge Page,Knowledge base for multi-agent coordination,,2,Infrastructure,https://www.notion.so/4b137681fc474859b937a061b3f88f32,Multi agent Project Knowledge,20,Active,"Guide/Documentation, Multi-Agent System",Hub/Index
People,People directory and contacts,,1,Meta,401,,5,Active,Guide/Documentation,Hub/Index
Data Source Sampling Methods,Database sampling and query methods,,2,Optimization Research,https://www.notion.so/29ff832e52ca804787c7d44e5149460f,,30,Active,Sampling Method,Method/Framework
Assets,Asset library and resources,,1,Meta,402,,10,Active,Guide/Documentation,Hub/Index
Joint Book Writing-Multi Agent,Joint book writing and multi-agent project hub,,1,Infrastructure,403,,15,Active,"Guide/Documentation, Multi-Agent System",Hub/Index
Ch 11 MAIN: US Embassy Congestion Charge Case Study,Main case study on US Embassy London congestion charges,,2,Content Production,https://www.notion.so/4f4b70970e6142229dd23cde806d29fc,,80,Active,Manuscript Content,Iteration/Phase
Ch 8: AI Benefit Concentration,Analysis of AI benefit concentration patterns,,2,Content Production,https://www.notion.so/d10a80426cf94cc38ccabd8e4b636544,,60,Active,Manuscript Content,Iteration/Phase
Ch 9: Open vs Closed AI: The Central Governance Challenge,Open source vs closed AI governance analysis,,2,Content Production,https://www.notion.so/96c1eb853b144e7bba43fcd366b2d8c0,,65,Active,Manuscript Content,Iteration/Phase
Ch 1: AI Increasing Relevance and Market Concentration (duplicate),Duplicate of Ch 1 (possible merge needed),,2,Content Production,https://www.notion.so/43f146f36ef54d8fb822a718a427fbc3,,65,Active,Manuscript Content,Iteration/Phase
Ch 7: Civil Society and Labor Resources,Civil society capacity and labor organization analysis,,2,Content Production,https://www.notion.so/bb62614302f449bdb8ef82783b60a15b,,60,Active,Manuscript Content,Iteration/Phase
Ch 30: AI Train or Energy Drain? The Carbon Cost of Computation,Carbon cost and energy impact of AI computation,,2,Content Production,https://www.notion.so/a84ae8e658ee47b18caa0e95d687a6e9,,70,Active,Manuscript Content,Iteration/Phase
Ch 2: Why Single Event Coincidences Can Capture General Trends,Methodological framework for case study analysis,,2,Content Production,https://www.notion.so/e49cca80af464b2d86af791bc851fcaf,,75,Active,Manuscript Content,Iteration/Phase
📑 COMPLETE CHAPTER OUTLINE: All 29 Chapters with Summaries,Comprehensive chapter outline for all 29 chapters,,1,Content Production,https://www.notion.so/086eecf27c6c4de88e25c633f2cf27bf,,90,Active,Guide/Documentation,Analysis/Report
📊 QUICK REFERENCE MATRIX: Chapter Relevance by Reader Type,Matrix showing chapter relevance for different reader types,,1,Content Production,https://www.notion.so/11ff9e34f0c5425e91b5340adc813679,,20,Active,Guide/Documentation,Analysis/Report
Ch 4: Algorithmic Exclusion and Access Barriers,Algorithmic exclusion and digital access barriers,,2,Content Production,https://www.notion.so/6b317822b7764fc7b639ffb15273c192,,55,Active,Manuscript Content,Iteration/Phase
Ch 12: When Algorithms Decide Who Pays: The London Traffic Case,Case study on algorithmic decision-making in traffic policy,,2,Content Production,https://www.notion.so/5826394c411a4bc8a13a0517a03ce3ba,,70,Active,Manuscript Content,Iteration/Phase
Ch 15: Bias Amplification,How AI systems amplify existing biases,,2,Content Production,https://www.notion.so/d42ad14ba36349429e53a4ff1b859e71,,60,Active,Manuscript Content,Iteration/Phase
Ch 13: AI and Labor Power,Impact of AI on labor organization and power dynamics,,2,Content Production,https://www.notion.so/519f28958f3145ae9f0c5b655fe4bb83,,60,Active,Manuscript Content,Iteration/Phase
Ch 5: Talent Concentration and the AI Skills Gap,AI talent concentration and skills gap analysis,,2,Content Production,https://www.notion.so/9d061abf8cce4404abaee01d9c041de1,,60,Active,Manuscript Content,Iteration/Phase
Ch 3: The Policy Trap: Why Good Intentions Fail,Analysis of policy failures despite good intentions,,2,Content Production,https://www.notion.so/a8c97699b6554476b7333c46d89cfb5e,,65,Active,Manuscript Content,Iteration/Phase
Ch 17: The Transparency Problem,Challenges in AI transparency and explainability,,2,Content Production,https://www.notion.so/4e7fed687257498a835fccd3fd5d384e,,55,Active,Manuscript Content,Iteration/Phase
Ch 18: Education and Unequal Adaptation,Educational disparities in adapting to AI,,2,Content Production,https://www.notion.so/57432d5ea2014eaca4dbc651101703af,,60,Active,Manuscript Content,Iteration/Phase
Ch 10: Regulatory Capture,Regulatory capture in AI governance,,2,Content Production,https://www.notion.so/412e6c5175c141e995add4b745e653c9,,55,Active,Manuscript Content,Iteration/Phase
Ch 14: Infrastructure and the Digital Divide,Digital infrastructure gaps and access inequality,,2,Content Production,https://www.notion.so/929a610bf5d44118bf1fdd3e1a6ea170,,65,Active,Manuscript Content,Iteration/Phase
