Tool Name,Loss Level,Notes,Optimal Input / Best Practices,Philosophy of Design,Reduction Max %,Reduction Min %,Size Reduction Description,Tier,Input Type,Semantic Blind
Gorilla compression,Low,Timestamps + values,"D: 2-hour blocks (Facebook production); BP: Timestamps with <1ms jitter; best for monotonic metrics (counters, gauges)",Delta-of-delta + XOR; exploit temporal patterns,95,90,90-95% reduction,Tier 4: Time-Series,Time-Series,Yes
Cohere Rerank,High,"Retrieval, not storage","D: Top-k=3-10 from 100+ candidates; BP: Retrieve 50-200 passages, rerank to top 5-10 for LLM context",Relevance-based filtering; discard non-pertinent passages,95,80,80-95% reduction,Tier 1: Semantic,Text,No
Milvus/Weaviate,Low-Medium,Production-grade,BP: Milvus IVF nlist=sqrt(N) to 4*sqrt(N); Weaviate efConstruction=128-512; segment at 100K-1M docs,Database-native compression; quantization + indexing,93.75,75,4-16× reduction,Tier 2: Embedding,Vectors/Embeddings,Yes
graph-tool compression,Medium,Large graphs,BP: Use nested stochastic block models for >10K nodes; compression ratio improves with graph size; save with minimize_blockmodel_dl,Statistical graph models; encode structure efficiently,90,50,50-90% reduction,Tier 5: Hierarchical/Adaptive,Graphs,Yes
MemGPT,Adaptive,Agent-specific,"D: Main context 8K tokens, recall top-k=3-10 archived memories; BP: Summarize every 2K tokens, archive after 3 summarizations",Tiered memory; main context + recursive summary + archive,90,50,50-90% (average),Tier 5: Hierarchical/Adaptive,Text,No
UMAP,Medium,768d → 64d common,"D: n_neighbors=5-50, min_dist=0.0-0.99; BP: 768d → 128d (low loss), → 64d (moderate), → 32d (high loss but fast)",Manifold learning; preserve local topology in lower dims,90,50,2-10× reduction,Tier 2: Embedding,Vectors/Embeddings,Yes
PCA/TruncatedSVD,Medium-High,"Fast, deterministic","BP: Retain 80-95% explained variance; typically 768d → 256d (90% var), → 128d (80% var), → 64d (70% var)",Linear projection; maximize variance retention,90,50,2-10× reduction,Tier 2: Embedding,Vectors/Embeddings,Yes
LlamaIndex SummaryIndex,Medium,Good for documents,"D: Chunk size 512-2048 tokens; BP: Use 1024-token chunks for books, 512 for articles; tree depth 2-4 levels",Hierarchical document summarization; tree-structured compression,90,70,70-90% reduction,Tier 1: Semantic,Text,No
LLMLingua,Medium,Uses perplexity-based pruning,"D: 500-6K tokens input; BP: Best for prompts 2K-4K tokens, compress to 20-30% for optimal semantic retention",Token-level importance scoring; remove low-value tokens while preserving semantics,90,70,70-90% reduction,Tier 1: Semantic,Text,No
LLMLingua-2,Medium,Trained extractive approach,"D: 200-10K tokens input; BP: Works best on meeting transcripts, QA contexts; avoid on code or math",Learned compression model; faster inference than heuristic pruning,85,70,70-85% reduction,Tier 1: Semantic,Text,No
NetworkX node contraction,Medium,Topology-dependent,BP: Contract low-degree nodes (degree=1-2); use betweenness centrality to preserve hubs; best for graphs >1K nodes,Graph simplification; merge similar nodes,80,20,20-80% reduction,Tier 5: Hierarchical/Adaptive,Graphs,Yes
LangChain ConversationSummaryMemory,Low-Medium,Preserves narrative flow,"BP: Summarize every 5-10 turns; paragraph → 1 sentence, page → paragraph, book → pages; no hard limits",Recursive summarization; progressively abstract older content,80,60,60-80% reduction,Tier 1: Semantic,Text,No
Selective Context,Low-Medium,Query-aware compression,D: 1K-16K tokens; BP: Requires query context; best when input has redundancy; diminishing returns >8K,Information-theoretic relevance; keep only tokens that inform target task,80,50,50-80% reduction,Tier 1: Semantic,Text,No
Annoy,Low-Medium,Space-time tradeoff,"D: n_trees=10-100 (more trees = better recall); BP: 50-100 trees for <1M vectors, scale to 200+ for 10M+",Tree-based ANN; memory-mapped files with shared structure,75,50,2-4× reduction,Tier 2: Embedding,Vectors/Embeddings,Yes
FAISS + SQ,Low,Minimal accuracy loss,"D: No minimum corpus size; BP: Use SQ8 (int8) for <1M vectors, SQ4 (4-bit) for >10M if accuracy allows",Scalar quantization; reduce float32 to int8,75,75,4× reduction,Tier 2: Embedding,Vectors/Embeddings,Yes
Haystack DocumentStore,Low-Medium,Multi-modal index,"BP: Store full-text for <10K docs, embeddings for 10K-10M, BM25 index for sparse retrieval; chunk docs to 256-512 tokens",Hybrid retrieval; full-text + metadata + embeddings,70,30,30-70% reduction,Tier 5: Hierarchical/Adaptive,Text,No
Protocol Buffers,None,Requires schema,"D: Message size <2MB recommended; BP: Use for RPC, not large documents; varint encoding saves space for small integers",Schema-driven serialization; no field names in payload,70,30,30-70% reduction,Tier 3: Structured State,Structured Data,Yes
Hnswlib,Low,Fast retrieval,"D: M=16-48 (edge count), ef_construction=100-500; BP: M=16 for <1M, M=32 for >1M; higher M = more edges = slower but accurate",HNSW graphs; compact adjacency representation,66.7,50,2-3× reduction,Tier 2: Embedding,Vectors/Embeddings,Yes
Apache Avro,None,Streaming-friendly,BP: Ideal for streaming datasets >1GB; batch write 1K-10K records at a time; combine with Snappy compression,Row-oriented binary; schema evolution support,60,30,30-60% reduction,Tier 3: Structured State,Structured Data,Yes
llm-trim,Low-Medium,Rule-based,"BP: Remove markdown formatting, URLs, repeated headers, legal boilerplate; preserve code blocks, lists, key sentences","Heuristic pruning; remove boilerplate, keep semantics",50,20,20-50% reduction,Tier 6: Token Budget,Text,Yes
Pydantic exclude_unset,None,Depends on sparsity,BP: Most effective when <30% of fields are set; combine with MessagePack; use for sparse configs and deltas,Drop default values; only serialize changed fields,50,10,10-50% reduction,Tier 3: Structured State,Structured Data,Yes
FlatBuffers,None,Fast random access,"D: Optimized for <1MB buffers; BP: Best for game state, sensor data, frequent access; slower to write than read",Zero-copy deserialization; access without unpacking,50,20,20-50% reduction,Tier 3: Structured State,Structured Data,Yes
MessagePack,None,Lossless,BP: Best for structured data <10MB per message; avoid for large blobs (use compression first); combine with zlib for 50-80% total,"Binary JSON; eliminate text overhead, type-efficient encoding",40,20,20-40% reduction,Tier 3: Structured State,Structured Data,Yes
tiktoken,None,Measurement tool,"BP: Use cl100k_base (GPT-4), p50k_base (GPT-3), o200k_base (GPT-4o); count before API calls to avoid truncation surprises",Accurate token counting; BPE tokenization matching APIs,0,0,0%,Tier 6: Token Budget,Text,Yes
langchain TokenTextSplitter,None,Organizational tool,"D: chunk_size=500-4000 tokens, chunk_overlap=10-20%; BP: 1024 chunks for RAG, 512 for fine-tuning, 200-500 for embeddings","Smart chunking; split on token boundaries, not chars",0,0,0% (logical),Tier 6: Token Budget,Text,Yes
Redis Streams XTRIM,High,Hard limit,"D: MAXLEN ~10K-1M entries; BP: Trim to last 10K for debugging, 1M for audit trails; use MINID for time-based expiry",Bounded log; cap-based eviction,0,0,0% (bounded),Tier 4: Time-Series,Any,Yes
transformers AutoTokenizer,None,Measurement tool,"BP: Set truncation=True, max_length=model_max - safety_margin; add special tokens; test on actual model vocab",Model-specific tokenization; exact budget enforcement,0,0,0%,Tier 6: Token Budget,Text,Yes
collections.deque(maxlen),High,Recency bias,"BP: maxlen=100-10K depending on frequency; 100 for high-freq events, 10K for low-freq; O(1) append and pop","FIFO buffer; drop oldest, no compression",0,0,0% (bounded),Tier 4: Time-Series,Any,Yes
Anthropic Prompt Caching,None,"Time savings, not space","D: Cache prefix ≥1024 tokens, ≤32K tokens; BP: Put static context in prefix (docs, examples), queries in suffix",Reuse prefix computations; architectural optimization,0,0,0% (logical),Tier 1: Semantic,Text,Yes
