Page Name,Description,Hierarchy Level,Objective,Page Link,Status,Tags,Type,Duplicate/Overlap Status,Parent Page,Reading Time (min)
Ch 16: Operating Cost Structure,Chapter on operating cost structure,,Content Production,https://www.notion.so/b6762b8e605f4d0d9dd8701dea734c39,Active,,Manuscript,,,
The 80 Year Lie,The 80 Year Lie manuscript,1,Content Production,https://www.notion.so/f2c6cbd0c4b34b8d82db24cc6655892e,Experimental,Manuscript Content,Manuscript,,,120
Void Fraction Framework,Void fraction theoretical framework,1,Content Production,https://www.notion.so/f4dc5d5f00164afc94a5cee6260a167f,Stable/Foundation,Mathematical Framework,Method/Framework,,,40
Policy Case Studies,Policy-focused case study collection,2,Content Production,https://www.notion.so/9b2363ecc1ad4f839ffbb63cb9750881,Active,Manuscript Content,Analysis/Report,,,30
Case Study Library,Collection of case studies,1,Content Production,https://www.notion.so/1410edc281b9439590e0c4fbc0d561dc,Active,Guide/Documentation,Hub/Index,,,15
Building Block of Society - The Commitment Void Fraction framework,Core framework for commitment void fraction,1,Content Production,https://www.notion.so/33f3283a689f49a5a70ba8a712cf0ad5,Stable/Foundation,Mathematical Framework,Method/Framework,,,45
NEW PART II: The Infrastructure-Innovation Divide,New Part II section outline,2,Content Production,https://www.notion.so/f280d36bfbd349afa5e0a5946016aff6,Experimental,Manuscript Content,Manuscript,,,25
Chapter 4: Section 4.2 - The Stewardship Void: The $1.2-4.8 Trillion Question,Section 4.2 on stewardship void,3,Content Production,https://www.notion.so/9657ef91b9c040aeb6376f195fc6963b,Active,Manuscript Content,Manuscript,,,30
Ch 5: The AI Transparency Gap,AI transparency challenges,2,Content Production,https://www.notion.so/e385ee27a6fa479fa518008e4c317e6c,Active,Manuscript Content,Iteration/Phase,,,60
Chapter 5: Section 5.1 - Opening the Black Box: The Transmission Mechanism,Section 5.1 on transmission mechanisms,3,Content Production,https://www.notion.so/4afafc43af3e4c108a9be597f3ad20f0,Active,Manuscript Content,Manuscript,,,30
Ch 6: The Windows Legacy and System Architecture Collapse,Windows legacy case study,2,Content Production,https://www.notion.so/5712340d6c2141d4b853741a426902ae,Experimental,Manuscript Content,Iteration/Phase,,,60
Chapter 1: Section 1.3 - The Genealogical Inheritance Hypothesis,Section 1.3 on genealogical inheritance,3,Content Production,https://www.notion.so/30cb9b2b4cc3403987014cd8874c342b,Active,Manuscript Content,Manuscript,,,30
Chapter 1: Section 1.1 - The Myth of the Chosen Nation,Section 1.1 analyzing the chosen nation myth,3,Content Production,https://www.notion.so/b5e1c084d0e84356855570ffc96315ab,Active,Manuscript Content,Manuscript,,,30
Chapter 3: Section 3.1 - The 40.5% Reality,Section 3.1 on family formation statistics,3,Content Production,https://www.notion.so/9762a557f87c4956b80880198a558cb7,Active,Manuscript Content,Manuscript,,,30
Opening Hook: The City Upon a Hill,Opening hook for manuscript,3,Content Production,https://www.notion.so/1690055e1f4049538639a4af582b7f30,Active,Manuscript Content,Manuscript,,,15
Chapter 1: Section 1.4 - Introducing the Void Fraction Framework,Section 1.4 introducing the framework,3,Content Production,https://www.notion.so/69fdc20276c94fb9bd7f5eb5a00b16cf,Active,Manuscript Content,Manuscript,,,30
"Chapter 4: Section 4.1 - The Educational Void: 406,964 Missing Teachers",Section 4.1 on teacher shortage,3,Content Production,https://www.notion.so/041c18c49a4546538bacf1930f623686,Active,Manuscript Content,Manuscript,,,30
Chapter One guiding the rest of the book,Chapter One overview for book structure,2,Content Production,https://www.notion.so/2a7f832e52ca80aa9fc5d7886e240b7d,Active,Manuscript Content,Manuscript,,,20
INTRODUCTION TO AI ETHICS: Setting the Stage,Introduction section for AI Ethics book,2,Content Production,https://www.notion.so/f7f6fc2ce95f4bc89b9c065205c884d8,Active,Manuscript Content,Iteration/Phase,,,45
Ch 29: Looking Forward: Pathways to Equitable AI,Future pathways and solutions for equitable AI development,2,Content Production,https://www.notion.so/bfb74b02701649c79139baf88f02f295,Active,Manuscript Content,Iteration/Phase,,,70
Ch 25: Healthcare Equity,AI in healthcare and equity considerations,2,Content Production,https://www.notion.so/13a9a3ecdff34d6986923f8053154bc0,Active,Manuscript Content,Iteration/Phase,,,65
Ch 21: Democratic Participation and AI,AI's impact on democratic processes and participation,2,Content Production,https://www.notion.so/12908686768341c38bb59f5b5a6c7708,Active,Manuscript Content,Iteration/Phase,,,60
Ch 24: Environmental Justice,Environmental impacts and justice issues in AI,2,Content Production,https://www.notion.so/a374adac02da461491b69574490b98ee,Active,Manuscript Content,Iteration/Phase,,,55
Ch 28: International Competition and Cooperation,Global AI competition and cooperation dynamics,2,Content Production,https://www.notion.so/b9e82b011a4f489db3a2a47caeeded2e,Active,Manuscript Content,Iteration/Phase,,,65
Ch 26: Financial Inclusion and Exclusion,AI in finance and access to financial services,2,Content Production,https://www.notion.so/1661ceb0f92f46f6996642e4a43e69cd,Active,Manuscript Content,Iteration/Phase,,,60
Ch 20: The Future of Work,AI's impact on employment and labor markets,2,Content Production,https://www.notion.so/9985dadd11534ab4a3d4afc417cb974d,Active,Manuscript Content,Iteration/Phase,,,70
Ch 23: Intellectual Property and AI,IP rights and AI-generated content challenges,2,Content Production,https://www.notion.so/32f64954f862448e91a07af82dea3242,Active,Manuscript Content,Iteration/Phase,,,60
Ch 27: Cultural Representation,Cultural bias and representation in AI systems,2,Content Production,https://www.notion.so/beff6777b77d4586a1e6b9bec040d4ec,Active,Manuscript Content,Iteration/Phase,,,55
Ch 19: Global Inequality and AI Access,Global disparities in AI access and development,2,Content Production,https://www.notion.so/3c070f4044e64ca4b2a80f4ddd1eb19c,Active,Manuscript Content,Iteration/Phase,,,65
Ch 22: Surveillance and Privacy,AI surveillance capabilities and privacy concerns,2,Content Production,https://www.notion.so/0048979aecbe483ea4f783488da74bf2,Active,Manuscript Content,Iteration/Phase,,,65
Ch 12: When Algorithms Decide Who Pays: The London Traffic Case,Case study on algorithmic decision-making in traffic policy,2,Content Production,https://www.notion.so/5826394c411a4bc8a13a0517a03ce3ba,Active,Manuscript Content,Iteration/Phase,,,70
Ch 15: Bias Amplification,How AI systems amplify existing biases,2,Content Production,https://www.notion.so/d42ad14ba36349429e53a4ff1b859e71,Active,Manuscript Content,Iteration/Phase,,,60
Ch 13: AI and Labor Power,Impact of AI on labor organization and power dynamics,2,Content Production,https://www.notion.so/519f28958f3145ae9f0c5b655fe4bb83,Active,Manuscript Content,Iteration/Phase,,,60
Ch 5: Talent Concentration and the AI Skills Gap,AI talent concentration and skills gap analysis,2,Content Production,https://www.notion.so/9d061abf8cce4404abaee01d9c041de1,Active,Manuscript Content,Iteration/Phase,,,60
Ch 3: The Policy Trap: Why Good Intentions Fail,Analysis of policy failures despite good intentions,2,Content Production,https://www.notion.so/a8c97699b6554476b7333c46d89cfb5e,Active,Manuscript Content,Iteration/Phase,,,65
Ch 17: The Transparency Problem,Challenges in AI transparency and explainability,2,Content Production,https://www.notion.so/4e7fed687257498a835fccd3fd5d384e,Active,Manuscript Content,Iteration/Phase,,,55
Ch 18: Education and Unequal Adaptation,Educational disparities in adapting to AI,2,Content Production,https://www.notion.so/57432d5ea2014eaca4dbc651101703af,Active,Manuscript Content,Iteration/Phase,,,60
Ch 10: Regulatory Capture,Regulatory capture in AI governance,2,Content Production,https://www.notion.so/412e6c5175c141e995add4b745e653c9,Active,Manuscript Content,Iteration/Phase,,,55
Ch 14: Infrastructure and the Digital Divide,Digital infrastructure gaps and access inequality,2,Content Production,https://www.notion.so/929a610bf5d44118bf1fdd3e1a6ea170,Active,Manuscript Content,Iteration/Phase,,,65
Ch 6: Data Monopolies and Training Advantages,Data monopolies and competitive advantages in AI training,2,Content Production,https://www.notion.so/cf9fd159f0674b2eb7d9ae82ece54d6c,Active,Manuscript Content,Iteration/Phase,,,65
Ch 11 MAIN: US Embassy Congestion Charge Case Study,Main case study on US Embassy London congestion charges,2,Content Production,https://www.notion.so/4f4b70970e6142229dd23cde806d29fc,Active,Manuscript Content,Iteration/Phase,,,80
Ch 8: AI Benefit Concentration,Analysis of AI benefit concentration patterns,2,Content Production,https://www.notion.so/d10a80426cf94cc38ccabd8e4b636544,Active,Manuscript Content,Iteration/Phase,,,60
Ch 9: Open vs Closed AI: The Central Governance Challenge,Open source vs closed AI governance analysis,2,Content Production,https://www.notion.so/96c1eb853b144e7bba43fcd366b2d8c0,Active,Manuscript Content,Iteration/Phase,,,65
Ch 1: AI Increasing Relevance and Market Concentration (duplicate),Duplicate of Ch 1 (possible merge needed),2,Content Production,https://www.notion.so/43f146f36ef54d8fb822a718a427fbc3,Active,Manuscript Content,Iteration/Phase,,,65
Ch 7: Civil Society and Labor Resources,Civil society capacity and labor organization analysis,2,Content Production,https://www.notion.so/bb62614302f449bdb8ef82783b60a15b,Active,Manuscript Content,Iteration/Phase,,,60
Ch 30: AI Train or Energy Drain? The Carbon Cost of Computation,Carbon cost and energy impact of AI computation,2,Content Production,https://www.notion.so/a84ae8e658ee47b18caa0e95d687a6e9,Active,Manuscript Content,Iteration/Phase,,,70
Ch 2: Why Single Event Coincidences Can Capture General Trends,Methodological framework for case study analysis,2,Content Production,https://www.notion.so/e49cca80af464b2d86af791bc851fcaf,Active,Manuscript Content,Iteration/Phase,,,75
📑 COMPLETE CHAPTER OUTLINE: All 29 Chapters with Summaries,Comprehensive chapter outline for all 29 chapters,1,Content Production,https://www.notion.so/086eecf27c6c4de88e25c633f2cf27bf,Active,Guide/Documentation,Analysis/Report,,,90
📊 QUICK REFERENCE MATRIX: Chapter Relevance by Reader Type,Matrix showing chapter relevance for different reader types,1,Content Production,https://www.notion.so/11ff9e34f0c5425e91b5340adc813679,Active,Guide/Documentation,Analysis/Report,,,20
Ch 4: Algorithmic Exclusion and Access Barriers,Algorithmic exclusion and digital access barriers,2,Content Production,https://www.notion.so/6b317822b7764fc7b639ffb15273c192,Active,Manuscript Content,Iteration/Phase,,,55
Ch 16: Operating Cost Structure and Sensitivity Analysis,Operating cost with sensitivity analysis,2,Content Production,https://www.notion.so/f9e244968ba74e7197f463b697f95ca3,Active,Manuscript Content,Iteration/Phase,,,55
Ch 16: Operating Cost Structure,Operating cost analysis chapter,2,Content Production,https://www.notion.so/2087339013f2423e822adbcbcbe3fb1c,Active,Manuscript Content,Iteration/Phase,,,50
Void Fraction Framework,Social absence measurement framework,2,Content Production,https://www.notion.so/69fdc20276c94fb9bd7f5eb5a00b16cf,Active,Mathematical Framework,Method/Framework,,,60
ITERATION 3: Calibrating Against Section 1.3,Third calibration iteration testing genealogical hypothesis,3,Content Production,https://www.notion.so/058c17d5d7b540d8bcaa62f010d2ba6d,Active,"Calibration, Iteration Cycle",Iteration/Phase,,Framework Solidification: From Fluid Measures to Specific Text Quality Model,45
Chapter One Guiding Rest of Book,Analysis of chapter one structure,2,Content Production,https://www.notion.so/2a7f832e52ca80aa9fc5d7886e240b7d,Active,Guide/Documentation,Analysis/Report,,,30
Climate Policy Deep Dive,Specialized analysis of climate policy,2,Content Production,https://www.notion.so/6880ac2f1ff2459893be9a6e5a338690,Active,Manuscript Content,Analysis/Report,,,70
NEW PART II: The Infrastructure-Innovation Divide,Combined chapters on infrastructure-innovation divide,2,Content Production,https://www.notion.so/f280d36bfbd349afa5e0a5946016aff6,Active,Manuscript Content,Iteration/Phase,,,120
Case Study Library,Collection of case studies for research,1,Content Production,https://www.notion.so/0775b66c9bab42cb9c0773f35d6e2b01,Active,Guide/Documentation,Hub/Index,,,15
Social Systems Case Studies,Case studies on social systems,2,Content Production,https://www.notion.so/399bdf41b4db4fa6a2c652a5efe9ca2f,Active,Manuscript Content,Analysis/Report,,Case Study Library,45
Ch 26: The Equity Imperative in AI Deployment,Equity as technical safety requirement,2,Content Production,https://www.notion.so/ac923460ca764effa3c663549c46a9be,Active,Manuscript Content,Iteration/Phase,Related Version,,55
Policy Case Studies,Policy analysis case studies,2,Content Production,https://www.notion.so/3fc176bbc3b943039aa0c3b4116f24e0,Active,Manuscript Content,Analysis/Report,,Case Study Library,40
Ch 24: AI Policy in the Age of Geopolitical Competition,Geopolitical competition in AI policy,2,Content Production,https://www.notion.so/898487f907b84201911ba40fef17206c,Active,Manuscript Content,Iteration/Phase,Related Version,,65
Ch 6: The Windows Legacy and System Architecture Collapse,Analysis of Windows legacy and system fragility,2,Content Production,https://www.notion.so/5712340d6c2141d4b853741a426902ae,Active,Manuscript Content,Iteration/Phase,,,85
Ch 24: AI Governance in the Age of Platform Monopoly,AI governance chapter draft,2,Content Production,https://www.notion.so/1fda3f8e2b9544c1bc0e3af0649b02d3,Active,Manuscript Content,Iteration/Phase,Related Version,,70
AI Ethics - Infrastructure Innovation Divide,Infrastructure-innovation divide in AI systems,1,Content Production,https://www.notion.so/e385ee27a6fa479fa518008e4c317e6c,Active,Manuscript Content,Manuscript,,,80
AI Ethics - Market Concentration,Analysis of market concentration in AI,1,Content Production,https://www.notion.so/2d9d9d1c70de4b799e74826b4bca6447,Active,Manuscript Content,Manuscript,,,90
AI Ethics - Leadership Void,Leadership void in AI governance,1,Content Production,https://www.notion.so/f2c6cbd0c4b34b8d82db24cc6655892e,Active,Manuscript Content,Manuscript,,,85
Exploratory Reading - Climate Policy,Exploratory notes on climate policy,1,Content Production,https://www.notion.so/54f788ed0642407590940d2c4c3eaaf8,Active,Guide/Documentation,Analysis/Report,,,40
Genealogical Analysis of American Exceptionalism,Case study on American founding populations,2,Content Production,https://www.notion.so/316be8f54928442c9576981658245bea,Active,Manuscript Content,Analysis/Report,,,60
What We Can Create RIGHT NOW,Assessment of immediately achievable deliverables,2,Content Production,https://www.notion.so/fc7162fe8a3a4a97b53d20b78953a73a,Active,Guide/Documentation,Analysis/Report,Duplicate,Book Project Knowledge,25
page 4 - The Unsaid,Creative writing piece on inference and context,1,Content Production,https://www.notion.so/7b1f482080da4cb5bdfe67fe059be057,Experimental,Manuscript Content,Manuscript,,,8
Climate Policy Design - Revised (Measure 2 Applied),Climate policy with techno-economics for green hydrogen,1,Content Production,https://www.notion.so/22073a8d6eb649039a3cb5fcdc179951,Active,Manuscript Content,Manuscript,,,120
Book Hub: Quality-Driven Manuscript Development,Hub for manuscript development workflows,1,Content Production,https://www.notion.so/29ef832e52ca80fcabb8d37bda8874e6,Active,Guide/Documentation,Hub/Index,,,15
Building Block of Society - The Commitment Void Fraction,Foundational framework for void fraction methodology,2,Content Production,https://www.notion.so/a945b119c1f04066a8f83d1d82fa93dd,Active,Manuscript Content,Manuscript,,,180
Book Project Knowledge,Support materials for America's Skeleton manuscript,1,Content Production,https://www.notion.so/73114746575348099f7f555675b3b1b5,Active,Guide/Documentation,Hub/Index,,,15
ITERATION 3: Calibrating Against Section 1.3,Third calibration iteration testing genealogical hypothesis,3,Content Production,https://www.notion.so/058c17d5d7b540d8bcaa62f010d2ba6d,Active,"Calibration, Iteration Cycle",Iteration/Phase,,Framework Solidification: From Fluid Measures to Specific Text Quality Model,45
ITERATION 2: Calibrating Against Section 1.2,Second calibration iteration testing on demographic statistics section,3,Content Production,https://www.notion.so/2fc573052253459699f9060123c091d9,Active,"Calibration, Iteration Cycle",Iteration/Phase,,Framework Solidification: From Fluid Measures to Specific Text Quality Model,45
ITERATION 1: Calibrating Against Preface + Section 1.1,First calibration iteration establishing baseline,3,Content Production,https://www.notion.so/4af2755085a74dbaaab38f83e42d9c7e,Active,"Calibration, Iteration Cycle",Iteration/Phase,,Framework Solidification: From Fluid Measures to Specific Text Quality Model,45
ITERATION 4: Calibrating Against Section 1.4 (Final),Final calibration iteration reducing false positives to ~188,3,Content Production,https://www.notion.so/077f58b7c4c348e1ad8b061cb4102b66,Active,"Calibration, Iteration Cycle",Iteration/Phase,,Framework Solidification: From Fluid Measures to Specific Text Quality Model,45
Multi-Layer Quality Recommendation Heatmap: Architecture & Implementation Plan,61-measure linguistic framework across 6 layers for quality assessment,2,Quality Assurance,https://www.notion.so/1cbcd2ca081448d38eb42368baea4fae,Active,"Mathematical Framework, Quality Assessment, Technical Specification, Visualization",Technical Spec,Primary Version,Linguistic Frameworks,60
Baseline Defining Moments: Mathematical Extraction from Ground Truth,Mathematical methodology for extracting invariants from ground truth text,3,Quality Assurance,https://www.notion.so/749c39f89c954369a296c39386ac4ee8,Active,"Calibration, Mathematical Framework, Validation",Method/Framework,,Framework Solidification: From Fluid Measures to Specific Text Quality Model,50
Research & Methods Evolution: Branching Point Analysis,Traces evolutionary branching points for research and methods,0,Meta,https://www.notion.so/ed4c5cf6e598430494389affc4165ae7,Active,"Evolution Analysis, Guide/Documentation",Analysis/Report,,,40
PHASE 1 IMPLEMENTATION: Invariant Extraction from Preface,Extracts 6 universal invariants from ground truth Preface,4,Quality Assurance,https://www.notion.so/d0721e6a91804ae9b8d48efb83d169ea,Active,"Iteration Cycle, Mathematical Framework, Validation",Iteration/Phase,,Baseline Defining Moments: Mathematical Extraction from Ground Truth,50
Memory-Centric Architecture - Book Writing Project,Distributed trust verification and cognitive continuity for agents,3,Infrastructure,https://www.notion.so/bdde9a6b0b7146a291329c793fdab0d2,Active,"Infrastructure Architecture, Multi-Agent System, Technical Specification",Architecture Doc,,Multi agent Project Knowledge,55
Optimization Algorithm: Leaving no stone unturned,Mathematical specification with proven correctness guarantees,3,Optimization Research,https://www.notion.so/37eba36a007a4120a87b9fef49f28bc8,Active,"Mathematical Framework, Optimization Algorithm, Technical Specification",Technical Spec,Primary Version,,65
DEMONSTRATION: Manual Heatmap Analysis of Preface,Manual application of heatmap methodology showing convergence zones,3,Quality Assurance,https://www.notion.so/dd4155927b0b4dfd9fc2e401b5e48aed,Active,"Quality Assessment, Sampling Method, Visualization",Demonstration,,Multi-Layer Quality Recommendation Heatmap: Architecture & Implementation Plan,40
Multi-Agent Collaboration Architecture for Book Writing,Multi-platform integration: Asana + Notion + Storage with event sourcing,2,Infrastructure,https://www.notion.so/70d05a6d4aee41fb8b91b9c0fb876fde,Active,"Infrastructure Architecture, Multi-Agent System, Technical Specification",Architecture Doc,,Multi agent Project Knowledge,50
APPENDIX A COMPLETE AUDITABILITY & REINFORCEMENT LOOP ARCHITECTURE,Version control with reinforcement loop for quality gates,3,Infrastructure,https://www.notion.so/81a7b6a7f3c943f4982647473488e92d,Active,"Infrastructure Architecture, Multi-Agent System, Technical Specification",Architecture Doc,,Multi agent Project Knowledge,60
General Overview: Severity-Weighted Optimization Framework,NP-hard constrained selection problem with severity weighting,2,Optimization Research,https://www.notion.so/6ec3663598a7440095528f895e2bcca1,Active,"Mathematical Framework, Optimization Algorithm, Technical Specification",Technical Spec,,,55
PHASE 2 IMPLEMENTATION: Multi-GT Validation (Sections 1.2-1.4),Tests invariant universality across multiple ground truth sections,4,Quality Assurance,https://www.notion.so/6664719bba814b2ca3267c4fbce9718b,Active,"Mathematical Framework, Validation",Iteration/Phase,,Baseline Defining Moments: Mathematical Extraction from Ground Truth,50
Optimization Remedies: Severity-Weighted Multi-Run Framework,Six algorithmic remedies to prevent trivial solutions and constraint artifacts,3,Optimization Research,https://www.notion.so/20a57259a69d48d8948fc904157f74b8,Active,"Optimization Algorithm, Technical Specification",Technical Spec,,General Overview: Severity-Weighted Optimization Framework,55
PHASE 4 VALIDATION: Full GT Testing & Manuscript Re-Diagnosis,Held-out validation for unbiased performance metrics,4,Quality Assurance,https://www.notion.so/2b91612d0fb14e45a0b6fccd64d3ed0d,Active,"Mathematical Framework, Validation",Iteration/Phase,,Baseline Defining Moments: Mathematical Extraction from Ground Truth,45
Coherence Assessment Procedures,Entity grid theory and transition probability analysis,2,Quality Assurance,https://www.notion.so/e900e8b00d454cd6b880373be5ddf391,Active,"Mathematical Framework, Quality Assessment",Method/Framework,,,45
CONSTRUCT VALIDITY TEST: Before/After Revisions,Tests if framework measures true quality improvements after revisions,4,Quality Assurance,https://www.notion.so/f0d0ea79b4604190b906b8c235408a0b,Active,"Mathematical Framework, Validation",Iteration/Phase,,Baseline Defining Moments: Mathematical Extraction from Ground Truth,40
Modular Methods,Domain-specific methods extracted from problem-solving,1,Optimization Research,https://www.notion.so/33f3283a689f49a5a70ba8a712cf0ad5,Active,Guide/Documentation,Hub/Index,,,15
Layer-Level Interaction Architecture (Abstract),Cross-layer coupling and interaction patterns across 6 quality layers,3,Quality Assurance,https://www.notion.so/615720a891904a0087cec8c3e7ab59df,Active,"Quality Assessment, Technical Specification",Technical Spec,,Linguistic Frameworks,50
VISUALIZATION SETUP GUIDE,"Instructions for Obsidian, Notion, and HTML visualization setup",2,Visualization,https://www.notion.so/a43b6aca96f145cc84894a67d69f5523,Active,"Guide/Documentation, Visualization",Guide,,,25
Quality Assurance Checklists,Assessment criteria catalog for linguistic quality measures,2,Quality Assurance,https://www.notion.so/261539b640b843f986c30d5c270f0115,Active,"Guide/Documentation, Quality Assessment",Guide,,,30
🏠 Workspace Home,Project-oriented landing page for quick navigation,0,Meta,https://www.notion.so/8a4d7c08697640f1ab1a65590ce0837f,Active,Guide/Documentation,Hub/Index,,,15
Automated Evaluation Tools,Guide to existing AES systems and neural models,2,Quality Assurance,https://www.notion.so/c04f3eb2e5cf40a0ac6d55445a6d5093,Active,"Guide/Documentation, Quality Assessment",Guide,,Linguistic Frameworks,25
Layer-Level Interaction Architecture (Abstract),Cross-layer coupling patterns across quality dimensions,2,Quality Assurance,https://www.notion.so/2aaf832e52ca80a9b2d1c56f0d2ecba9,Active,"Mathematical Framework, Technical Specification",Technical Spec,,Linguistic Frameworks,50
Linguistic Frameworks,Theoretical foundation for linguistic quality assessment procedures,1,Quality Assurance,https://www.notion.so/2a3f832e52ca806ba576d30cd8f4e2a5,Active,Guide/Documentation,Hub/Index,,,10
⚙️ Unified Framework Architecture,Unified gear-based policy configuration framework,1,Optimization Research,https://www.notion.so/dde7f6d9137040038c1561682e0814b1,Active,"Infrastructure Architecture, Mathematical Framework",Architecture Doc,,,45
Genre-Specific Assessment Protocols,Assessment protocols tailored by genre,2,Quality Assurance,https://www.notion.so/39236ee503bc40299aa2539a6e7f72c4,Active,Quality Assessment,Method/Framework,,Linguistic Frameworks,30
"📋 Workspace Extraction Report: Structure, Formal Elements & Redundancy Analysis",Complete workspace analysis across 4 dimensions,0,Meta,https://www.notion.so/bf6ddb5bd3a045119f5566429c4f0df7,Active,Evolution Analysis,Analysis/Report,,,60
Gear Based Pluggable Policy Configuration,Group theory-based policy configuration interface,2,Optimization Research,https://www.notion.so/2aaf832e52ca81e3b200e0d429fd9052,Active,"Mathematical Framework, Technical Specification",Technical Spec,,,55
remove reference numeric,Reference cleanup utility,1,Meta,https://www.notion.so/2aaf832e52ca80149326dff7d971748e,Active,Guide/Documentation,Guide,,,5
